                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.47838,                  0.619,                0.44827,                0.89915,                0.77613,                0.67543,                0.68038,                0.60215,                0.75081,                0.65521,                0.66693,                 0.5495,                 0.6098,                 1.1756,                0.98182,                 1.0133,             0.00084897,             0.00084897,             0.00084897
                     44,                0.47901,                0.61578,                0.44896,                0.89767,                0.74083,                0.65107,                 0.7004,                0.63232,                 0.7719,                0.62166,                0.68942,                0.58506,                 0.5594,                 1.2149,                0.92003,                0.98072,             0.00083482,             0.00083482,             0.00083482
                     45,                0.47956,                0.59464,                0.45552,                0.89089,                  0.731,                0.69175,                 0.7313,                0.63989,                 0.6568,                0.75076,                0.70864,                0.58377,                0.62144,                 1.1882,                0.88969,                 1.0217,             0.00082067,             0.00082067,             0.00082067
                     46,                 0.4888,                0.62632,                0.46323,                0.90357,                0.70619,                 0.7162,                0.72476,                0.66183,                0.70178,                0.71134,                0.72236,                0.58749,                0.56439,                 1.1349,                0.87268,                0.96664,             0.00080653,             0.00080653,             0.00080653
                     47,                0.48071,                0.61471,                0.43129,                0.89508,                0.69063,                0.69847,                0.68851,                0.61788,                0.68479,                0.69372,                0.68256,                0.57697,                0.57806,                 1.1474,                0.86347,                 0.9959,             0.00079238,             0.00079238,             0.00079238
                     48,                0.47879,                0.63574,                0.43964,                0.90259,                0.59303,                0.70806,                0.62747,                 0.5685,                0.57653,                0.69319,                0.61364,                0.50748,                0.53635,                0.93136,                 1.1766,                0.95071,             0.00077823,             0.00077823,             0.00077823
                     49,                0.45295,                0.59855,                0.42334,                0.89807,                 0.8174,                0.67093,                0.72545,                0.67531,                 0.8174,                0.67093,                0.72545,                0.62045,                0.51187,                 1.0436,                0.93754,                0.95762,             0.00076409,             0.00076409,             0.00076409
                     50,                0.46538,                0.59215,                0.40991,                0.88555,                0.85423,                0.67233,                 0.7248,                0.67348,                0.84921,                0.66748,                0.71597,                0.60475,                0.57606,                 1.0328,                0.96673,                 1.0336,             0.00074994,             0.00074994,             0.00074994
                     51,                0.45574,                0.60629,                0.40688,                 0.8916,                0.74334,                0.69572,                0.72316,                0.65569,                0.73865,                0.69086,                0.71989,                 0.6039,                0.53038,                  1.092,                0.91453,                0.96165,             0.00073579,             0.00073579,             0.00073579
                     52,                0.46745,                0.59673,                0.41804,                0.90145,                0.63931,                0.70146,                0.73241,                0.66867,                0.62054,                0.68583,                0.71472,                0.61334,                0.52187,                 1.0112,                 0.8437,                 0.9804,             0.00072164,             0.00072164,             0.00072164
                     53,                0.44235,                0.58981,                0.38098,                 0.8908,                0.64981,                 0.6854,                0.68284,                0.61031,                0.66533,                0.69571,                0.69845,                0.55501,                0.58825,                 1.2059,                0.99148,                 1.0019,              0.0007075,              0.0007075,              0.0007075
                     54,                0.44871,                0.58415,                0.38623,                0.88435,                0.81467,                0.60034,                0.70322,                0.64144,                0.81467,                0.60034,                 0.6964,                0.58215,                0.54511,                  1.124,                0.99192,                0.98826,             0.00069335,             0.00069335,             0.00069335
                     55,                0.43641,                0.55848,                0.38173,                0.87505,                 0.7431,                0.65471,                0.73012,                0.66079,                0.75863,                0.66279,                0.74595,                 0.5945,                0.57572,                 1.1301,                 0.9566,                0.99705,              0.0006792,              0.0006792,              0.0006792
                     56,                0.42978,                0.58425,                0.38146,                0.87706,                0.71693,                 0.6605,                0.71141,                0.64667,                0.71693,                 0.6605,                 0.7017,                0.58534,                0.62046,                 1.1442,                0.90081,                 1.0261,             0.00066506,             0.00066506,             0.00066506
                     57,                0.41693,                0.55827,                0.37317,                0.87794,                0.71457,                0.71378,                 0.7295,                0.67492,                0.71003,                0.70893,                0.72439,                0.63672,                0.57911,                 1.1422,                0.99467,                0.99125,             0.00065091,             0.00065091,             0.00065091
                     58,                0.41441,                0.53921,                0.35658,                0.87516,                0.77863,                0.65266,                0.73393,                0.67294,                 0.7836,                0.65559,                 0.7233,                 0.6122,                0.56566,                 1.2154,                0.88877,                 1.0018,             0.00063676,             0.00063676,             0.00063676
                     59,                0.43259,                0.54012,                0.37084,                0.88243,                0.66331,                0.69402,                0.68971,                0.64389,                0.66802,                0.69887,                0.69066,                0.57908,                0.54297,                 1.0846,                0.94048,                0.99414,             0.00062262,             0.00062262,             0.00062262
                     60,                0.43119,                0.55386,                0.37304,                0.87644,                 0.7239,                0.66342,                0.70783,                0.64742,                 0.7239,                0.66342,                0.70783,                0.59233,                0.57869,                 1.0727,                 1.0017,                0.98372,             0.00060847,             0.00060847,             0.00060847
                     61,                0.42347,                0.53455,                0.36422,                0.87599,                0.77532,                0.71329,                0.74249,                 0.6872,                0.77532,                0.71329,                 0.7348,                0.62727,                0.56706,                 1.1524,                0.85993,                0.97567,             0.00059432,             0.00059432,             0.00059432
                     62,                0.41696,                0.51523,                0.36993,                0.86872,                0.73207,                0.61362,                0.67658,                0.62473,                0.73386,                0.60877,                0.66864,                0.57402,                0.59451,                 1.2165,                 1.1612,                 1.0053,             0.00058017,             0.00058017,             0.00058017
                     63,                0.41728,                0.51326,                0.35456,                0.87775,                0.70255,                0.65564,                0.72458,                0.66699,                0.70255,                0.65564,                0.72151,                0.60813,                0.52582,                 1.1848,                 1.0062,                0.96598,             0.00056603,             0.00056603,             0.00056603
                     64,                0.41448,                0.52752,                 0.3483,                0.87361,                0.68323,                0.74476,                0.73374,                0.67081,                0.83916,                 0.6206,                0.72108,                0.61037,                 0.5305,                 1.1094,                 0.8342,                0.98073,             0.00055188,             0.00055188,             0.00055188
                     65,                0.40858,                0.51823,                0.34534,                0.87908,                0.71769,                0.63797,                0.71391,                0.65157,                0.71769,                0.63797,                0.70261,                0.58907,                0.56847,                 1.1211,                0.89809,                0.98071,             0.00053773,             0.00053773,             0.00053773
                     66,                0.41466,                0.51717,                0.33476,                0.87982,                0.70939,                0.71359,                0.69766,                0.65381,                0.70939,                0.71359,                0.69766,                0.60407,                0.55122,                 1.1775,                0.79149,                 1.0038,             0.00052359,             0.00052359,             0.00052359
                     67,                0.41394,                0.54314,                0.35738,                0.87751,                0.70228,                0.71073,                0.69958,                0.63846,                0.70228,                0.71073,                0.69709,                0.59341,                0.47904,                0.97636,                0.85045,                0.93511,             0.00050944,             0.00050944,             0.00050944
                     68,                 0.4183,                0.53789,                0.35945,                0.86765,                0.73532,                0.69766,                 0.6998,                 0.6458,                0.73532,                0.69766,                 0.6998,                0.59508,                0.54338,                 1.2774,                0.93561,                0.99562,             0.00049529,             0.00049529,             0.00049529
                     69,                0.41089,                0.50809,                0.35124,                0.87664,                0.70176,                0.73521,                   0.69,                0.63917,                0.70612,                0.74006,                0.69347,                0.56543,                0.56215,                 1.2921,                 0.8033,                 1.0013,             0.00048114,             0.00048114,             0.00048114
                     70,                0.40073,                0.51385,                0.33422,                0.87495,                 0.7611,                0.69175,                0.69749,                0.64409,                0.75673,                0.68689,                0.69569,                 0.5775,                0.54521,                 1.2404,                0.84411,                0.98581,               0.000467,               0.000467,               0.000467
                     71,                0.38985,                0.50427,                 0.3225,                0.87053,                0.77855,                0.69766,                0.70201,                0.65226,                0.77855,                0.69766,                0.69929,                0.58403,                0.51134,                 1.1257,                0.93885,                0.95814,             0.00045285,             0.00045285,             0.00045285
                     72,                0.39482,                0.51687,                0.31719,                0.87313,                0.68587,                0.62333,                0.61102,                 0.5657,                0.68587,                0.62333,                0.60156,                0.50676,                0.57046,                 1.2879,                 1.1458,                 1.0199,              0.0004387,              0.0004387,              0.0004387
                     73,                0.38497,                0.48395,                0.31907,                0.86675,                0.75281,                0.71814,                0.71668,                0.66989,                0.75281,                0.71814,                0.71347,                0.60515,                0.56204,                 1.3147,                0.83063,                 1.0135,             0.00042456,             0.00042456,             0.00042456
                     74,                0.37667,                0.45689,                0.31262,                 0.8686,                0.80694,                0.63437,                0.71846,                0.66075,                0.80694,                0.63437,                0.71325,                0.59928,                0.50905,                 1.1216,                0.89886,                0.97235,             0.00041041,             0.00041041,             0.00041041
                     75,                0.39661,                0.47285,                0.31744,                0.86873,                0.71698,                0.65564,                0.70354,                0.64177,                0.71698,                0.65564,                0.69463,                0.58742,                0.50563,                 1.1454,                0.94045,                0.95149,             0.00039626,             0.00039626,             0.00039626
                     76,                0.38103,                0.46073,                0.30289,                0.86682,                 0.8078,                0.69414,                 0.7256,                  0.675,                 0.8078,                0.69414,                0.72254,                0.61013,                0.52036,                 1.1695,                0.90922,                0.97847,             0.00038211,             0.00038211,             0.00038211
                     77,                0.36904,                0.47504,                0.31779,                0.85574,                0.76988,                0.67233,                0.71883,                0.67032,                0.76988,                0.67233,                 0.7163,                 0.6073,                 0.5049,                 1.1716,                0.98885,                0.96485,             0.00036797,             0.00036797,             0.00036797
                     78,                0.37588,                0.47038,                0.30305,                0.85852,                0.65943,                0.68513,                0.70617,                0.65741,                0.65943,                0.68513,                0.70352,                0.60417,                0.54525,                 1.1809,                 1.0206,                 0.9842,             0.00035382,             0.00035382,             0.00035382
                     79,                0.36974,                0.47964,                0.29682,                0.85246,                0.72109,                0.68165,                0.71539,                0.66246,                0.72109,                0.68165,                0.71258,                0.61122,                0.56604,                 1.1662,                0.95847,                 1.0179,             0.00033967,             0.00033967,             0.00033967
                     80,                0.37286,                0.46675,                0.30248,                0.86375,                 0.7486,                0.66641,                0.69885,                0.65216,                 0.7486,                0.66641,                0.69885,                0.61271,                0.54979,                  1.124,                0.96476,                0.99071,             0.00032553,             0.00032553,             0.00032553
                     81,                0.36495,                0.44983,                0.29483,                0.85147,                0.74596,                 0.6705,                0.68182,                0.63593,                0.74596,                 0.6705,                0.67968,                0.58867,                0.58512,                 1.2224,                0.89469,                 1.0589,             0.00031138,             0.00031138,             0.00031138
                     82,                0.36876,                0.47851,                 0.2931,                0.85676,                0.75874,                0.63978,                 0.7023,                0.65134,                0.75874,                0.63978,                0.69799,                0.59498,                0.58624,                 1.2338,                0.87054,                 1.0553,             0.00029723,             0.00029723,             0.00029723
                     83,                0.35487,                0.46442,                 0.2845,                0.85414,                 0.7426,                0.71641,                0.72569,                0.67221,                 0.7426,                0.71641,                 0.7234,                0.62472,                0.54162,                 1.1616,                0.84271,                 1.0121,             0.00028308,             0.00028308,             0.00028308
                     84,                0.35382,                 0.4581,                0.28518,                0.85935,                0.69669,                0.69175,                0.68986,                0.65252,                0.69669,                0.69175,                0.68986,                0.59515,                0.54427,                 1.2274,                0.91851,                 1.0253,             0.00026894,             0.00026894,             0.00026894
                     85,                0.34833,                 0.4563,                0.27859,                0.85114,                0.87074,                0.64536,                0.73048,                0.67536,                 0.8623,                0.62735,                0.71216,                0.60999,                0.55797,                 1.2431,                0.89285,                 1.0356,             0.00025479,             0.00025479,             0.00025479
                     86,                0.35129,                 0.4268,                  0.279,                0.86057,                0.77931,                0.66355,                0.73424,                0.68692,                0.77931,                0.66355,                 0.7317,                0.61806,                0.56784,                 1.1842,                0.87136,                 1.0207,             0.00024064,             0.00024064,             0.00024064
                     87,                0.34708,                0.42476,                0.27541,                0.85582,                0.76316,                0.66641,                0.72021,                0.67204,                0.76316,                0.66641,                0.71322,                0.61281,                0.56547,                 1.2725,                 0.9611,                 1.0305,              0.0002265,              0.0002265,              0.0002265
                     88,                0.34517,                0.45304,                 0.2735,                0.85602,                0.85205,                0.65079,                0.72305,                0.67541,                0.85205,                0.65079,                0.71623,                 0.6154,                0.59164,                 1.2388,                0.91466,                 1.0531,             0.00021235,             0.00021235,             0.00021235
                     89,                0.35078,                0.44314,                0.27961,                0.85947,                0.80223,                0.64002,                0.71243,                0.66343,                0.80223,                0.64002,                0.71007,                0.60952,                0.58122,                 1.1716,                0.90649,                 1.0414,              0.0001982,              0.0001982,              0.0001982
                     90,                0.32743,                0.41788,                0.26189,                0.84552,                0.82943,                0.65492,                0.71016,                0.66418,                0.82943,                0.65492,                0.70793,                0.61049,                 0.5696,                 1.2131,                0.90527,                 1.0469,             0.00018406,             0.00018406,             0.00018406
                     91,                0.31308,                0.40555,                0.24671,                0.83342,                0.87291,                0.64593,                0.72435,                0.67574,                0.87291,                0.64593,                0.72214,                0.61944,                0.58045,                 1.1845,                0.80641,                 1.0569,             0.00016991,             0.00016991,             0.00016991
                     92,                 0.3083,                0.41329,                0.23925,                0.83162,                0.73428,                0.66641,                0.72164,                0.67008,                0.73428,                0.66641,                0.71935,                0.61917,                0.56342,                 1.1942,                0.80477,                 1.0375,             0.00015576,             0.00015576,             0.00015576
                     93,                0.29932,                0.38668,                0.23268,                0.82626,                0.75644,                0.64918,                 0.7316,                0.68594,                0.75644,                0.64918,                 0.7292,                0.61884,                0.57862,                 1.2401,                0.80995,                  1.058,             0.00014161,             0.00014161,             0.00014161
                     94,                0.29856,                0.39408,                0.23276,                0.82614,                0.75747,                 0.6706,                0.73524,                0.69388,                0.75747,                 0.6706,                0.73309,                0.62933,                0.57812,                  1.194,                0.82226,                 1.0644,             0.00012747,             0.00012747,             0.00012747
                     95,                0.29532,                 0.3868,                 0.2247,                0.83233,                0.79829,                0.66569,                 0.7404,                 0.6946,                0.80305,                0.67054,                0.73931,                 0.6453,                0.58605,                 1.2114,                 0.8259,                 1.0807,             0.00011332,             0.00011332,             0.00011332
                     96,                0.28622,                0.36887,                0.22477,                0.82548,                0.76237,                0.67127,                0.73765,                 0.6879,                0.76237,                0.67127,                0.73545,                0.62909,                0.58674,                 1.2382,                0.78746,                 1.0901,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.29018,                0.38546,                0.22598,                0.82829,                0.75234,                0.67127,                0.73168,                0.68926,                0.75234,                0.67127,                0.72907,                0.63584,                0.55424,                  1.274,                0.79535,                 1.0753,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 0.2817,                0.37986,                0.22161,                0.82826,                0.84789,                0.62827,                 0.7259,                 0.6783,                0.84789,                0.62827,                0.72306,                0.62353,                 0.5452,                 1.2857,                0.81885,                 1.0675,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.28144,                0.38372,                0.21325,                0.82556,                0.75338,                0.66641,                0.72516,                0.67813,                0.75338,                0.66641,                0.72217,                  0.621,                0.56046,                 1.2614,                0.80555,                  1.077,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.27557,                0.36906,                0.21514,                0.82747,                0.73487,                0.68689,                0.73316,                0.68437,                0.73487,                0.68689,                0.73035,                0.63239,                0.57009,                 1.2673,                0.81096,                 1.0912,             4.2584e-05,             4.2584e-05,             4.2584e-05
