                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.48008,                0.68864,                0.51788,                0.94938,                0.56393,                0.65362,                0.54954,                0.46361,                0.55922,                0.65461,                0.54899,                0.43245,                0.44874,                0.73231,                0.70236,                0.99267,              0.0011461,              0.0011461,              0.0011461
                     36,                0.47055,                0.63207,                0.50377,                0.95013,                0.79882,                0.53889,                0.60713,                0.50196,                0.79951,                0.53768,                0.60457,                0.47167,                0.43848,                0.73234,                0.58447,                0.96863,              0.0011375,              0.0011375,              0.0011375
                     37,                0.46752,                0.62464,                0.50968,                0.93669,                0.67841,                0.59551,                0.59076,                0.49021,                0.67741,                0.59457,                0.58169,                0.46034,                0.44354,                0.79445,                0.62721,                0.97148,              0.0011289,              0.0011289,              0.0011289
                     38,                0.46342,                0.63108,                0.48613,                0.93631,                0.60499,                0.59644,                0.58285,                 0.4739,                0.61172,                0.60384,                0.59203,                0.44872,                0.43258,                0.72888,                0.66656,                0.94875,              0.0011203,              0.0011203,              0.0011203
                     39,                0.46899,                0.64825,                0.49642,                0.94605,                0.68899,                0.64647,                0.67113,                0.57025,                0.68826,                0.64554,                0.66914,                0.54616,                0.46992,                0.77058,                0.64338,                0.97468,              0.0011118,              0.0011118,              0.0011118
                     40,                0.46809,                0.67905,                0.49841,                0.94611,                0.67412,                0.54463,                0.59096,                0.48573,                0.67003,                0.54089,                0.58397,                 0.4517,                0.46556,                 0.8817,                0.67708,                0.99974,              0.0011032,              0.0011032,              0.0011032
                     41,                0.45556,                0.65091,                0.48929,                0.94143,                0.71911,                0.65312,                0.68883,                0.51691,                 0.7159,                0.65125,                0.68818,                0.50898,                0.45188,                0.84291,                0.62983,                0.96795,              0.0010946,              0.0010946,              0.0010946
                     42,                0.44533,                 0.6075,                0.45768,                0.92604,                0.61059,                0.68374,                0.68698,                0.53359,                 0.6115,                0.68468,                0.68707,                0.51835,                0.44794,                0.69574,                0.65482,                0.96496,               0.001086,               0.001086,               0.001086
                     43,                0.44212,                0.62285,                0.46135,                0.92142,                0.68466,                0.63334,                0.66757,                0.52089,                0.69279,                 0.6398,                0.68017,                0.50223,                0.42549,                0.66561,                0.62194,                0.94975,              0.0010775,              0.0010775,              0.0010775
                     44,                0.45035,                0.61969,                0.45861,                 0.9305,                 0.5872,                 0.4725,                0.55857,                 0.4909,                0.61458,                0.46707,                0.55155,                0.45094,                0.45626,                0.80628,                0.69398,                0.96089,              0.0010689,              0.0010689,              0.0010689
                     45,                 0.4489,                0.61033,                0.46341,                0.93097,                0.80138,                0.62511,                0.67591,                0.57021,                0.80036,                0.62417,                0.67407,                0.55538,                0.41723,                0.63625,                0.55409,                0.94361,              0.0010603,              0.0010603,              0.0010603
                     46,                0.43977,                0.59105,                 0.4535,                0.92131,                0.55273,                0.70366,                0.59226,                0.50723,                0.56187,                 0.7225,                0.59534,                0.48632,                0.44854,                0.71014,                0.63593,                0.98326,              0.0010517,              0.0010517,              0.0010517
                     47,                0.43406,                0.57709,                 0.4511,                0.92009,                0.64711,                0.53649,                0.55762,                0.48046,                 0.6473,                0.53649,                0.54548,                0.44639,                0.41946,                0.76947,                0.58275,                0.96382,              0.0010432,              0.0010432,              0.0010432
                     48,                0.42935,                0.57488,                0.43098,                0.92159,                0.71004,                0.67612,                 0.6418,                0.57862,                0.72259,                0.69079,                0.65468,                 0.5352,                 0.4447,                0.72662,                0.65348,                0.96582,              0.0010346,              0.0010346,              0.0010346
                     49,                0.43389,                0.59154,                0.43946,                0.92659,                0.66911,                0.53212,                0.60551,                0.48952,                0.68223,                0.53717,                0.60978,                0.45886,                0.43316,                0.82944,                0.63129,                0.96155,               0.001026,               0.001026,               0.001026
                     50,                0.41974,                0.57671,                0.42699,                0.91844,                0.64226,                0.60028,                0.62548,                0.51912,                0.65014,                0.60028,                 0.6245,                0.50809,                 0.4545,                0.71322,                0.63257,                 0.9844,              0.0010174,              0.0010174,              0.0010174
                     51,                0.42305,                0.58115,                0.41229,                 0.9202,                0.59133,                0.67156,                0.61521,                0.53965,                 0.5885,                0.66906,                0.60846,                0.49989,                0.42166,                0.72295,                0.54655,                0.96809,              0.0010089,              0.0010089,              0.0010089
                     52,                0.42824,                0.57062,                0.43883,                0.92041,                0.80936,                0.67424,                0.76027,                0.62768,                0.80936,                0.67424,                 0.7706,                0.59775,                0.42177,                0.76205,                0.66301,                0.95069,              0.0010003,              0.0010003,              0.0010003
                     53,                0.41816,                0.55543,                0.42252,                0.91245,                0.78188,                0.63965,                0.71638,                0.60431,                0.77973,                0.63777,                0.71591,                0.58425,                0.39954,                0.62927,                0.53793,                0.92763,             0.00099173,             0.00099173,             0.00099173
                     54,                0.41338,                0.53626,                0.39942,                0.91298,                0.61134,                 0.6727,                0.60012,                0.53735,                0.60956,                0.67189,                 0.5988,                0.51759,                0.41091,                0.66912,                0.66743,                 0.9444,             0.00098315,             0.00098315,             0.00098315
                     55,                0.41488,                0.57311,                0.40206,                0.91534,                 0.6699,                0.56654,                0.64311,                0.55199,                0.66976,                0.56529,                0.64375,                0.54382,                0.43798,                0.65829,                0.57225,                0.96883,             0.00097458,             0.00097458,             0.00097458
                     56,                0.42099,                 0.5642,                  0.413,                0.91471,                0.55377,                 0.6605,                0.64749,                0.57024,                 0.5527,                0.65957,                 0.6453,                0.54586,                0.43341,                0.78595,                0.69095,                0.95983,               0.000966,               0.000966,               0.000966
                     57,                0.41515,                  0.559,                0.40645,                0.91245,                0.67332,                0.67568,                0.64737,                0.52204,                 0.6714,                 0.6722,                0.64298,                0.48072,                0.42527,                0.74876,                0.58945,                0.96088,             0.00095743,             0.00095743,             0.00095743
                     58,                0.41102,                0.56211,                0.38929,                0.90817,                0.63476,                0.65167,                0.64506,                0.55246,                0.63279,                0.64979,                 0.6417,                0.53688,                0.42102,                0.72199,                0.59002,                0.96463,             0.00094886,             0.00094886,             0.00094886
                     59,                0.41219,                 0.5647,                 0.3978,                0.90499,                0.60714,                 0.7034,                0.66611,                0.55339,                0.60633,                0.70247,                0.66841,                0.53595,                0.40753,                0.67948,                0.55962,                0.94551,             0.00094028,             0.00094028,             0.00094028
                     60,                0.40697,                0.55525,                0.38735,                0.90852,                0.75496,                0.68552,                0.74887,                0.64347,                0.75078,                0.68177,                0.74621,                0.61066,                0.40479,                0.74351,                0.53037,                0.94088,             0.00093171,             0.00093171,             0.00093171
                     61,                0.40733,                0.53835,                0.38583,                0.90915,                0.63302,                0.66602,                0.71412,                0.58769,                0.63413,                0.66696,                0.71487,                0.55796,                0.41393,                0.75509,                0.62555,                0.96442,             0.00092313,             0.00092313,             0.00092313
                     62,                0.39711,                0.52072,                0.37222,                0.90346,                0.68578,                0.74675,                 0.7456,                0.59146,                0.68486,                0.74582,                0.74135,                0.58178,                0.44058,                0.73625,                0.55619,                0.97383,             0.00091456,             0.00091456,             0.00091456
                     63,                0.40089,                0.54466,                0.37241,                0.90206,                0.73909,                0.60513,                0.70307,                 0.5949,                0.73804,                0.60419,                0.70174,                0.57263,                0.40725,                0.70899,                0.56515,                0.94851,             0.00090599,             0.00090599,             0.00090599
                     64,                0.39076,                0.51282,                0.37689,                0.89997,                0.62564,                  0.634,                0.62389,                 0.5033,                0.62699,                0.63469,                0.62278,                0.49293,                0.43844,                0.76423,                0.60809,                0.97763,             0.00089741,             0.00089741,             0.00089741
                     65,                0.39845,                0.55242,                0.36732,                0.90305,                0.65445,                0.65706,                0.64237,                0.54961,                  0.651,                0.65428,                 0.6392,                0.51861,                 0.4295,                0.77187,                0.61459,                0.96756,             0.00088884,             0.00088884,             0.00088884
                     66,                0.40104,                 0.5442,                0.39736,                0.90934,                0.69981,                0.59185,                0.67636,                0.53769,                0.69981,                0.59185,                 0.6772,                0.51406,                0.40578,                0.72068,                0.54766,                0.96526,             0.00088026,             0.00088026,             0.00088026
                     67,                 0.3889,                0.50676,                0.36033,                 0.8973,                 0.6655,                0.59524,                0.64882,                0.53952,                0.66336,                0.59337,                0.64699,                0.52706,                0.40487,                0.64396,                0.61953,                0.95036,             0.00087169,             0.00087169,             0.00087169
                     68,                 0.3833,                0.49442,                 0.3622,                0.90476,                0.58065,                0.69864,                0.65593,                0.56174,                0.57673,                 0.6945,                 0.6603,                 0.5445,                0.41844,                0.73446,                0.63637,                0.96856,             0.00086312,             0.00086312,             0.00086312
                     69,                0.39078,                0.51171,                  0.362,                0.90401,                0.55824,                 0.6495,                0.64872,                0.56354,                0.55567,                0.64665,                0.64543,                0.55643,                0.41764,                0.73187,                0.61068,                0.95999,             0.00085454,             0.00085454,             0.00085454
                     70,                  0.398,                0.53309,                0.38477,                0.90727,                0.62826,                0.59194,                0.59215,                0.46086,                0.62826,                0.59194,                 0.5961,                0.44322,                0.41942,                0.78458,                0.60822,                 0.9893,             0.00084597,             0.00084597,             0.00084597
                     71,                0.38076,                0.48279,                0.35096,                0.89402,                0.56556,                0.68705,                0.58268,                0.49799,                0.56465,                0.68564,                0.58177,                0.47881,                0.42794,                0.78033,                0.57398,                0.98393,             0.00083739,             0.00083739,             0.00083739
                     72,                0.38908,                0.50154,                 0.3594,                0.90307,                0.59746,                 0.7144,                0.58234,                0.50655,                0.59389,                0.71066,                0.57932,                0.48707,                0.41108,                0.76596,                0.59101,                0.97192,             0.00082882,             0.00082882,             0.00082882
                     73,                0.37666,                0.48499,                0.35085,                0.88417,                0.66052,                0.54185,                0.63862,                0.55753,                0.66052,                0.54185,                0.63814,                0.53935,                 0.4096,                0.71073,                 0.6048,                0.97494,             0.00082025,             0.00082025,             0.00082025
                     74,                0.38072,                 0.4936,                 0.3444,                0.89681,                0.70001,                0.56991,                0.60787,                0.51403,                0.70001,                0.56991,                0.60691,                0.49801,                0.42004,                0.90012,                0.60945,                0.97297,             0.00081167,             0.00081167,             0.00081167
                     75,                0.37291,                0.48774,                0.33642,                0.89122,                0.60071,                0.69685,                0.63258,                0.52031,                 0.6016,                0.69778,                  0.631,                0.51314,                0.42027,                0.81814,                0.57355,                0.98065,              0.0008031,              0.0008031,              0.0008031
                     76,                0.37483,                0.50256,                0.33291,                 0.8857,                0.48425,                0.66741,                0.54461,                0.48209,                 0.4826,                0.66526,                0.54411,                0.46572,                0.43605,                0.83617,                0.70098,                0.99337,             0.00079452,             0.00079452,             0.00079452
